Country Name,Country Code,Region,Income Group,Languages,Year,GDP at market prices (current US$),"Population, total",GDP per capita (current US$),Internet users (per 100 people),"Enrolment in secondary education, both sexes (number)","Enrolment in tertiary education, all programmes, both sexes (number)",Projection: Population age 15-19 by highest level of educational attainment. Lower Secondary. Total,Projection: Population age 15-19 by highest level of educational attainment. Upper Secondary. Total,Projection: Population age 20-24 by highest level of educational attainment. Upper Secondary. Total,Projection: Population age 15-19 by highest level of educational attainment. Post Secondary. Total,Projection: Population age 20-24 by highest level of educational attainment. Post Secondary. Total,Projection: Population age 25-29 by highest level of educational attainment. Post Secondary. Total
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2000,3632043907.97733,3089027.0,1175.78898079471,0.114097347,365664.0,40125.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2001,4060758804.12084,3060173.0,1326.97033929809,0.325798377,377936.0,40859.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2002,4435078647.74817,3051010.0,1453.64277657175,0.390081273,382205.0,42160.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2003,5746945912.58082,3039616.0,1890.68155733514,0.971900415,396095.0,43600.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2004,7314865175.6199,3026939.0,2416.58823505194,2.420387798,393503.0,53014.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2005,8158548716.68554,3011487.0,2709.14293061386,6.043890864,407403.0,63257.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2006,8992642348.7871,2992547.0,3005.01290331851,9.609991316,408980.0,74747.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2007,10701011896.7708,2970017.0,3603.01368536638,15.03611541,410444.0,86863.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2008,12881352687.7773,2947314.0,4370.53964653148,23.86,406553.0,90606.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2009,12044212903.8168,2927519.0,4114.13654490945,41.2,354587.0,93139.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2010,11926953258.916,2913021.0,4094.35883191918,45.0,355871.0,122326.0,237530.0,29600.0,109880.0,0.0,15940.0,25610.0
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2011,12890867538.5302,2905195.0,4437.17806843608,49.0,355158.0,134877.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2012,12319784787.2987,2900401.0,4247.61430826246,54.65595904,349269.0,160839.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2013,12776277515.48,2895092.0,4413.08169670601,57.2,346365.0,173029.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2014,13228244357.1813,2889104.0,4578.66672753259,60.1,333291.0,173819.0,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2015,11335264966.561,2880703.0,3934.89539413158,63.2529327,315079.0,160527.0,227480.0,29170.0,101930.0,0.0,14960.0,29600.0
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2016,11863865978.0942,2876101.0,4124.98239042866,66.3634447,,,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2017,,,,,,,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2020,,,,,,,201340.0,27670.0,101470.0,0.0,15460.0,28460.0
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2025,,,,,,,170390.0,25290.0,93340.0,0.0,14940.0,29430.0
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",2030,,,,,,,153820.0,24830.0,82050.0,0.0,13940.0,28540.0
Algeria,DZA,Middle East & North Africa,Upper middle income,"Arabic (official), French (lingua franca), Berber or Tamazight (official); dialects include Kabyle Berber (Taqbaylit), Shawiya Berber (Tacawit), Mzab Berber, Tuareg Berber (Tamahaq)",2000,54790245600.5846,31183660.0,1757.01779715994,0.491705679,2994258.0,,,,,,,
Algeria,DZA,Middle East & North Africa,Upper middle income,"Arabic (official), French (lingua franca), Berber or Tamazight (official); dialects include Kabyle Berber (Taqbaylit), Shawiya Berber (Tacawit), Mzab Berber, Tuareg Berber (Tamahaq)",2001,54744714396.1666,31592153.0,1732.85797888376,0.646114017,3188826.0,549009.0,,,,,,
Algeria,DZA,Middle East & North Africa,Upper middle income,"Arabic (official), French (lingua franca), Berber or Tamazight (official); dialects include Kabyle Berber (Taqbaylit), Shawiya Berber (Tacawit), Mzab Berber, Tuareg Berber (Tamahaq)",2002,56760288973.6703,31995046.0,1774.0336730152,1.59164126,3352340.0,624788.0,,,,,,
Algeria,DZA,Middle East & North Africa,Upper middle income,"Arabic (official), French (lingua franca), Berber or Tamazight (official); dialects include Kabyle Berber (Taqbaylit), Shawiya Berber (Tacawit), Mzab Berber, Tuareg Berber (Tamahaq)",2003,67863829880.4832,32403514.0,2094.33550572581,2.195359731,3455930.0,682775.0,,,,,,
Algeria,DZA,Middle East & North Africa,Upper middle income,"Arabic (official), French (lingua franca), Berber or Tamazight (official); dialects include Kabyle Berber (Taqbaylit), Shawiya Berber (Tacawit), Mzab Berber, Tuareg Berber (Tamahaq)",2004,85324998813.604,32831096.0,2598.90802346666,4.634475088,3604785.0,716452.0,,,,,,
Algeria,DZA,Middle East & North Africa,Upper middle income,"Arabic (official), French (lingua franca), Berber or Tamazight (official); dialects include Kabyle Berber (Taqbaylit), Shawiya Berber (Tacawit), Mzab Berber, Tuareg Berber (Tamahaq)",2005,103198228458.588,33288437.0,3100.12237758677,5.843942092,3654232.0,792121.0,,,,,,
Algeria,DZA,Middle East & North Africa,Upper middle income,"Arabic (official), French (lingua franca), Berber or Tamazight (official); dialects include Kabyle Berber (Taqbaylit), Shawiya Berber (Tacawit), Mzab Berber, Tuareg Berber (Tamahaq)",2006,117027304746.54,33777915.0,3464.61007870202,7.375984956,3664852.0,817968.0,,,,,,
Algeria,DZA,Middle East & North Africa,Upper middle income,"Arabic (official), French (lingua franca), Berber or Tamazight (official); dialects include Kabyle Berber (Taqbaylit), Shawiya Berber (Tacawit), Mzab Berber, Tuareg Berber (Tamahaq)",2007,134977087734.008,34300076.0,3935.18334285931,9.451190626,3724095.0,901562.0,,,,,,
Algeria,DZA,Middle East & North Africa,Upper middle income,"Arabic (official), French (lingua franca), Berber or Tamazight (official); dialects include Kabyle Berber (Taqbaylit), Shawiya Berber (Tacawit), Mzab Berber, Tuareg Berber (Tamahaq)",2008,171000691877.714,34860715.0,4905.25486576261,10.18,3984536.0,,,,,,,
Algeria,DZA,Middle East & North Africa,Upper middle income,"Arabic (official), French (lingua franca), Berber or Tamazight (official); dialects include Kabyle Berber (Taqbaylit), Shawiya Berber (Tacawit), Mzab Berber, Tuareg Berber (Tamahaq)",2009,137211039898.193,35465760.0,3868.83123040908,11.23,4576166.0,1149666.0,,,,,,
